Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
Improving privacy-preserving multi-faceted long short-term memory for accurate evaluation of encrypted time-series MRI images in heart disease.	10.1038/s41598-024-70593-2
Comparison of AI-integrated pathways with human-AI interaction in population mammographic screening for breast cancer.	10.1038/s41467-024-51725-8
A novel functional index, aortic-valve-coefficient, for assessing aortic-stenosis in patients undergoing TAVR: A prospective-pilot study.	10.1016/j.carrev.2024.08.006
Robust localization of poorly visible tumor in fiducial free stereotactic body radiation therapy.	10.1016/j.radonc.2024.110514
Computer-aided diagnosis of eyelid skin tumors using machine learning.	10.1016/j.jcjo.2024.07.015
Automatic segmentation of echocardiographic images using a shifted windows vision transformer architecture.	10.1088/2057-1976/ad7594
Remote Assessment of Eczema Severity via AI-powered Skin Image Analytics: A Systematic Review.	10.1016/j.artmed.2024.102968
Lumbar Spine Densitometry in People with Spinal Cord Injury: Investigation of Potential Sources of Errors.	10.1016/j.jocd.2024.101528
Deep learning for efficient reconstruction of highly accelerated 3D FLAIR MRI in neurological deficits.	10.1007/s10334-024-01200-8
Can deep learning classify cerebral ultrasound images for the detection of brain injury in very preterm infants?	10.1007/s00330-024-11028-4
The White Matter Fiber Tract Deforms Most in the Perpendicular Direction During <i>In Vivo</i> Volunteer Impacts.	10.1089/neu.2024.0183
Deep Learning-Based System Combining Chest X-Ray and Computerized Tomography Images for COVID-19 Diagnosis.	10.12968/hmed.2024.0244
Enhancing the Diagnostic Accuracy of Sacroiliitis: A Machine Learning Approach Applied to Computed Tomography Imaging.	10.12968/hmed.2024.0228
7T-high resolution MRI-derived radiomic analysis for the identification of symptomatic intracranial atherosclerotic plaques.	10.1177/15910199241275722
Development and validation of a prediction model for malignant sinonasal tumors based on MR radiomics and machine learning.	10.1007/s00330-024-11033-7
Twinned neuroimaging analysis contributes to improving the classification of young people with autism spectrum disorder.	10.1038/s41598-024-71174-z
Improving <sup>18</sup>F-FDG PET Quantification Through a Spatial Normalization Method.	10.2967/jnumed.123.267360
Rupture risk assessment in cerebral arteriovenous malformations: an ensemble model using hemodynamic and morphological features.	10.1136/jnis-2024-022208
Optic Nerve Head Morphological Variation in Craniosynostosis: A Cohort Study.	10.1016/j.ajo.2024.08.021
EFNet: A multitask deep learning network for simultaneous quantification of left ventricle structure and function.	10.1016/j.ejmp.2024.104505
Localization and Network Connectivity of Lesions Causing Limb Ataxia in Patients With Stroke.	10.1212/WNL.0000000000209803
Deep learning to predict risk of lateral skull base cerebrospinal fluid leak or encephalocele.	10.1007/s11548-024-03259-z
Spatial attention U-Net model with Harris hawks optimization for retinal blood vessel and optic disc segmentation in fundus images.	10.1007/s10792-024-03279-3
SAD: semi-supervised automatic detection of BOLD activations in high temporal resolution fMRI data.	10.1007/s10334-024-01197-0
Deep-learning-based image reconstruction with limited data: generating synthetic raw data using deep learning.	10.1007/s10334-024-01193-4
Brain tumor classification for combining the advantages of multilayer dense net-based feature extraction and hyper-parameters tuned attentive dual residual generative adversarial network classifier using wild horse optimization.	10.1002/nbm.5246
ASF-LKUNet: Adjacent-scale fusion U-Net with large kernel for multi-organ segmentation.	10.1016/j.compbiomed.2024.109050
A diffusion model multi-scale feature fusion network for imbalanced medical image classification research.	10.1016/j.cmpb.2024.108384
ACSwinNet: A Deep Learning-Based Rigid Registration Method for Head-Neck CT-CBCT Images in Image-Guided Radiotherapy.	10.3390/s24165447
MOVING: A Multi-Modal Dataset of EEG Signals and Virtual Glove Hand Tracking.	10.3390/s24165207
A Precise Pulmonary Airway Tree Segmentation Method Using Quasi-Spherical Region Constraint and Tracheal Wall Gap Sealing.	10.3390/s24165104
Measurement of Cardiothoracic Ratio on Chest X-rays Using Artificial Intelligence-A Systematic Review and Meta-Analysis.	10.3390/jcm13164659
Contrast-Enhancing Lesion Segmentation in Multiple Sclerosis: A Deep Learning Approach Validated in a Multicentric Cohort.	10.3390/bioengineering11080858
Sympathetic neuropeptide Y protects from obesity by sustaining thermogenic fat.	10.1038/s41586-024-07863-6
Deep learning-assisted segmentation of X-ray images for rapid and accurate assessment of foot arch morphology and plantar soft tissue thickness.	10.1038/s41598-024-71025-x
High-resolution segmentations of the hypothalamus and its subregions for training of segmentation models.	10.1038/s41597-024-03775-2
Exploring de-anonymization risks in PET imaging: Insights from a comprehensive analysis of 853 patient scans.	10.1038/s41597-024-03800-4
A deep learning approach for cervical cord injury severity determination through axial and sagittal magnetic resonance imaging segmentation and classification.	10.1007/s00586-024-08464-7
SiMix: A domain generalization method for cross-site brain MRI harmonization via site mixing.	10.1016/j.neuroimage.2024.120812
Domain adaptation strategies for 3D reconstruction of the lumbar spine using real fluoroscopy data.	10.1016/j.media.2024.103322
Development of a TOPAS Monte Carlo (MC) model extension to simulate the automatic exposure control function of a C-arm CBCT.	10.1016/j.ejmp.2024.104506
Self-Adaptive Teacher-Student framework for colon polyp segmentation from unannotated private data with public annotated datasets.	10.1371/journal.pone.0307777
Preoperative Prediction of Microvascular Invasion in Hepatocellular Carcinoma From Multi-Sequence Magnetic Resonance Imaging Based on Deep Fusion Representation Learning.	10.1109/JBHI.2024.3451331
Integrating plasma exosomal miRNAs, ultrasound radiomics and tPSA for the diagnosis and prediction of early prostate cancer: a multi-center study.	10.1007/s12094-024-03682-3
Deep Learning-Assisted Automatic Diagnosis of Anterior Cruciate Ligament Tear in Knee Magnetic Resonance Images.	10.3390/tomography10080094
An Overview of Cone-Beam Computed Tomography and Dental Panoramic Radiography in Dentistry in the Community.	10.3390/tomography10080092
Gastric Cancer Image Classification: A Comparative Analysis and Feature Fusion Strategies.	10.3390/jimaging10080195
Precise Image-level Localization of Intracranial Hemorrhage on Head CT Scans with Deep Learning Models Trained on Study-level Labels.	10.1148/ryai.230296
Development and Multicenter, Multiprotocol Validation of Neural Network for Aberrant Right Subclavian Artery Detection.	10.3349/ymj.2023.0590
Pretrained subtraction and segmentation model for coronary angiograms.	10.1038/s41598-024-71063-5
Neural shape completion for personalized Maxillofacial surgery.	10.1038/s41598-024-68084-5
Semi-supervised lung adenocarcinoma histopathology image classification based on multi-teacher knowledge distillation.	10.1088/1361-6560/ad7454
Non-contrasted computed tomography (NCCT) based chronic thromboembolic pulmonary hypertension (CTEPH) automatic diagnosis using cascaded network with multiple instance learning.	10.1088/1361-6560/ad7455
Domain adaptive noise reduction with iterative knowledge transfer and style generalization learning.	10.1016/j.media.2024.103327
Application of U-Net Network Utilizing Multiattention Gate for MRI Segmentation of Brain Tumors.	10.1097/RCT.0000000000001641
Automated brain tumor diagnostics: Empowering neuro-oncology with deep learning-based MRI image analysis.	10.1371/journal.pone.0306493
Analysis of the diagnostic value of CT radiomics models in differentiating GIST and other mesenchymal tumors.	10.1967/s002449912732
Ensembled-SAMs for Enhanced Small Coronary Artery Segmentation in CCTA Images.	10.1109/JBHI.2024.3450669
Enhancing Melanoma Diagnosis with Advanced Deep Learning Models Focusing on Vision Transformer, Swin Transformer, and ConvNeXt.	10.3390/dermatopathology11030026
Diffusion-weighted magnetic resonance imaging as an early prognostic marker of chemoradiotherapy response in squamous cell carcinoma of the anus: An individual patient data <i>meta</i>-analysis.	10.1016/j.phro.2024.100618
Automated measurement of lumbar pedicle screw parameters using deep learning algorithm on preoperative CT scans.	10.1016/j.jbo.2024.100627
Growth dynamics of lung nodules: implications for classification in lung cancer screening.	10.1186/s40644-024-00755-y
Improved Automated Quality Control of Skeletal Wrist Radiographs Using Deep Multitask Learning.	10.1007/s10278-024-01220-9
A 3D Convolutional Neural Network Based on Non-enhanced Brain CT to Identify Patients with Brain Metastases.	10.1007/s10278-024-01240-5
The Fine-Tuned Large Language Model for Extracting the Progressive Bone Metastasis from Unstructured Radiology Reports.	10.1007/s10278-024-01242-3
Radiomic and deep learning analysis of dermoscopic images for skin lesion pattern decoding.	10.1038/s41598-024-70231-x
Enhancing Organizing Pneumonia Diagnosis: A Novel Super-token Transformer Approach for Masson Body Segmentation.	10.21873/invivo.13688
BIGFormer: A Graph Transformer With Local Structure Awareness for Diagnosis and Pathogenesis Identification of Alzheimer's Disease Using Imaging Genetic Data.	10.1109/JBHI.2024.3442468
Synthesizing Real-Time Ultrasound Images of Muscle Based on Biomechanical Simulation and Conditional Diffusion Network.	10.1109/TUFFC.2024.3445434
An Innovative Deep Learning Approach to Spinal Fracture Detection in CT Images.	10.62713/aic.3498
Decoding MRI-informed brain age using mutual information.	10.1186/s13244-024-01791-9
Complexity organization of resting-state functional-MRI networks.	10.1002/hbm.26809
Deep multimodal saliency parcellation of cerebellar pathways: Linking microstructure and individual function through explainable multitask learning.	10.1002/hbm.70008
Field-of-view extension for brain diffusion MRI via deep generative models.	10.1117/1.JMI.11.4.044008
Artificial Intelligence in Chronic Obstructive Pulmonary Disease: Research Status, Trends, and Future Directions --A Bibliometric Analysis from 2009 to 2023.	10.2147/COPD.S474402
Artificial Intelligence-Based Indocyanine Green Lymphography Pattern Classification for Management of Lymphatic Disease.	10.1097/GOX.0000000000006132
BrainSegFounder: Towards 3D Foundation Models for Neuroimage Segmentation.	
Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture.	10.1007/978-3-031-43993-3_15
Asynchronous calibration of a CT scanner for bone mineral density estimation: sources of error and correction.	10.1093/jbmrpl/ziae096
Network state dynamics underpin basal craving in a transdiagnostic population.	10.1038/s41380-024-02708-0
Estimation of human age using machine learning on panoramic radiographs for Brazilian patients.	10.1038/s41598-024-70621-1
Towards laryngeal cancer diagnosis using Dandelion Optimizer Algorithm with ensemble learning on biomedical throat region images.	10.1038/s41598-024-70525-0
